WAP (feat. Megan Thee Stallion),Cardi B,9144643
Mood (feat. iann dior),24kGoldn,8780080
Runnin,21 Savage,8713712
Mr. Right Now (feat. Drake),21 Savage,8639420
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7914498
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,7694109
Laugh Now Cry Later (feat. Lil Durk),Drake,7456639
Glock In My Lap,21 Savage,6196066
Wonder,Shawn Mendes,5682019
Holy (feat. Chance The Rapper),Justin Bieber,5335610
Dreams - 2004 Remaster,Fleetwood Mac,5308749
What You Know Bout Love,Pop Smoke,5293080
Rich Nigga Shit (feat. Young Thug),21 Savage,5274717
ROCKSTAR (feat. Roddy Ricch),DaBaby,5019296
Many Men,21 Savage,4943214
Slidin,21 Savage,4832891
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,4807954
Wishing Well,Juice WRLD,4747825
Dynamite,BTS,4738523
Come & Go (with Marshmello),Juice WRLD,4727724
Blinding Lights,The Weeknd,4563469
my ex's best friend (with blackbear),Machine Gun Kelly,4529618
POPSTAR (feat. Drake),DJ Khaled,4510495
Heather,Conan Gray,4509346
Watermelon Sugar,Harry Styles,4019414
Bet You Wanna (feat. Cardi B),BLACKPINK,4006689
Lovesick Girls,BLACKPINK,3953974
Put Your Records On,Ritt Momney,3883433
you broke me first,Tate McRae,3755108
Outta Time (feat. Drake),Bryson Tiller,3710964
Blueberry Faygo,Lil Mosey,3704071
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,3560595
Mood Swings (feat. Lil Tjay),Pop Smoke,3555415
Martin & Gina,Polo G,3524706
Brand New Draco,21 Savage,3514669
My Dawg,21 Savage,3457808
Snitches & Rats (feat. Young Nudy),21 Savage,3423501
24 (feat. Lil Baby),Money Man,3228515
forget me too (feat. Halsey),Machine Gun Kelly,3190381
Wolves (feat. Post Malone),Big Sean,3184580
Go Crazy,Chris Brown,3122423
Smile (with The Weeknd),Juice WRLD,3108740
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3078608
Be Like That - feat. Swae Lee & Khalid,Kane Brown,3060143
No Opp Left Behind,21 Savage,3010573
Lucid Dreams,Juice WRLD,2984501
Roses - Imanbek Remix,SAINt JHN,2940545
Robbery,Juice WRLD,2932285
All Girls Are The Same,Juice WRLD,2931803
Circles,Post Malone,2901408
Steppin On Niggas,21 Savage,2897755
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,2896042
Snitches & Rats (Interlude),21 Savage,2877222
RIP Luv,21 Savage,2850453
The Box,Roddy Ricch,2848847
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2848342
Don’t Stop (feat. Young Thug),Megan Thee Stallion,2776557
Sofia,Clairo,2721961
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2709372
Said N Done,21 Savage,2676975
7 Summers,Morgan Wallen,2667591
Ice Cream (with Selena Gomez),BLACKPINK,2631756
death bed (coffee for your head),Powfu,2629935
Someone You Loved,Lewis Capaldi,2624846
Before You Go,Lewis Capaldi,2615472
Midnight Sky,Miley Cyrus,2606319
Intro,21 Savage,2575203
Savage Love (Laxed - Siren Beat),Jawsh 685,2540704
