"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,8514480
Mood (feat. iann dior),24kGoldn,7871944
WAP (feat. Megan Thee Stallion),Cardi B,7561476
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7533527
Laugh Now Cry Later (feat. Lil Durk),Drake,6157923
What You Know Bout Love,Pop Smoke,6120832
Holy (feat. Chance The Rapper),Justin Bieber,5208862
Lonely (with benny blanco),Justin Bieber,5148206
Dreams - 2004 Remaster,Fleetwood Mac,5083371
ROCKSTAR (feat. Roddy Ricch),DaBaby,4614074
Come & Go (with Marshmello),Juice WRLD,4569303
Wishing Well,Juice WRLD,4534382
Mr. Right Now (feat. Drake),21 Savage,4310625
Runnin,21 Savage,4276451
Blinding Lights,The Weeknd,4273503
Heather,Conan Gray,4189966
POPSTAR (feat. Drake),DJ Khaled,4113571
Put Your Records On,Ritt Momney,4101821
Dynamite,BTS,4097133
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,3911567
you broke me first,Tate McRae,3788856
Watermelon Sugar,Harry Styles,3782070
Wonder,Shawn Mendes,3701971
my ex's best friend (with blackbear),Machine Gun Kelly,3680326
Blueberry Faygo,Lil Mosey,3627605
Martin & Gina,Polo G,3530585
Mood Swings (feat. Lil Tjay),Pop Smoke,3338195
24 (feat. Lil Baby),Money Man,3330789
Sofia,Clairo,3273062
Be Like That - feat. Swae Lee & Khalid,Kane Brown,3100192
All Girls Are The Same,Juice WRLD,3009234
Lucid Dreams,Juice WRLD,2999262
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2931851
Robbery,Juice WRLD,2929989
Circles,Post Malone,2925357
Go Crazy,Chris Brown,2922290
The Box,Roddy Ricch,2803725
Savage Love (Laxed - Siren Beat),Jawsh 685,2795495
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2779060
Daisy,Ashnikko,2765694
Smile (with The Weeknd),Juice WRLD,2764389
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,2752070
Wolves (feat. Post Malone),Big Sean,2738668
Someone You Loved,Lewis Capaldi,2670126
Roses - Imanbek Remix,SAINt JHN,2655183
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,2650544
Before You Go,Lewis Capaldi,2623988
Got It On Me,Pop Smoke,2499428
Midnight Sky,Miley Cyrus,2487179
We Paid (feat. 42 Dugg),Lil Baby,2481359
7 Summers,Morgan Wallen,2365776
Electric Love,BØRNS,2350604
After Party,Don Toliver,2331517
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,2319736
death bed (coffee for your head),Powfu,2318363
Levitating (feat. DaBaby),Dua Lipa,2307849
Glock In My Lap,21 Savage,2291150
Hawái,Maluma,2278770
Party Girl,StaySolidRocky,2275537
Whiskey Glasses,Morgan Wallen,2261097
Sweater Weather,The Neighbourhood,2259921
Rags2Riches 2 (feat. Lil Baby),Rod Wave,2259306
Adore You,Harry Styles,2243682
One Of Them Girls,Lee Brice,2230006
goosebumps,Travis Scott,2216284
Head & Heart (feat. MNEK),Joel Corry,2215839
Hate The Way (feat. blackbear),G-Eazy,2191417
Life Is Good (feat. Drake),Future,2169680
Righteous,Juice WRLD,2153252
Are You Bored Yet? (feat. Clairo),Wallows,2147232
hot girl bummer,blackbear,2143208
Conversations,Juice WRLD,2140455
SLOW DANCING IN THE DARK,Joji,2132185
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,2128103
More Than My Hometown,Morgan Wallen,2115274
Intentions (feat. Quavo),Justin Bieber,2101418
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,2092955
GO (feat. Juice WRLD),The Kid LAROI,2073757
21,Polo G,2073752
If the World Was Ending - feat. Julia Michaels,JP Saxe,2071097
Ice Cream (with Selena Gomez),BLACKPINK,2047474
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2029786
HIGHEST IN THE ROOM,Travis Scott,2012037
Sunday Best,Surfaces,2007431
E-GIRLS ARE RUINING MY LIFE!,CORPSE,2000388
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,1981160
Whole Lotta Choppas (Remix) [feat. Nicki Minaj],Sada Baby,1972959
Rain On Me (with Ariana Grande),Lady Gaga,1972338
forget me too (feat. Halsey),Machine Gun Kelly,1971060
Jocelyn Flores,XXXTENTACION,1961200
Ballin' (with Roddy Ricch),Mustard,1954013
WHATS POPPIN,Jack Harlow,1950260
Dior,Pop Smoke,1949945
Chasin' You,Morgan Wallen,1946128
Train Wreck,James Arthur,1935061
SICKO MODE,Travis Scott,1920457
ROXANNE,Arizona Zervas,1910324
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1910270
GREECE (feat. Drake),DJ Khaled,1892049
Breaking Me,Topic,1888725
Beautiful Crazy,Luke Combs,1880241
Falling,Trevor Daniel,1871280
PRACTICE,DaBaby,1858989
Falling,Harry Styles,1832893
Fake,Lauv,1831435
Toosie Slide,Drake,1829152
Star Shopping,Lil Peep,1813627
Still Don't Know My Name,Labrinth,1792710
Daddy Issues,The Neighbourhood,1790502
Take You Dancing,Jason Derulo,1781372
Girls in the Hood,Megan Thee Stallion,1766735
Mad at Disney,salem ilese,1760314
THE SCOTTS,THE SCOTTS,1756182
No Guidance (feat. Drake),Chris Brown,1755522
July,Noah Cyrus,1741856
20 Min,Lil Uzi Vert,1730412
BOP,DaBaby,1723753
High Fashion (feat. Mustard),Roddy Ricch,1718456
You Got It,Vedo,1716328
lovely (with Khalid),Billie Eilish,1715206
Sleepy Hollow,Trippie Redd,1705477
Tongue Tied,Grouplove,1699356
You’re Mines Still (feat. Drake),Yung Bleu,1691788
Flex (feat. Juice WRLD),Polo G,1690586
SAD!,XXXTENTACION,1690033
Bang!,AJR,1685868
The Less I Know The Better,Tame Impala,1683025
No Role Modelz,J. Cole,1679463
Walk Em Down (feat. Roddy Ricch),NLE Choppa,1668502
I Hope,Gabby Barrett,1663618
Kacey Talk,YoungBoy Never Broke Again,1660000
MIDDLE CHILD,J. Cole,1653519
Pretty Heart,Parker McCollum,1653146
Don't Start Now,Dua Lipa,1634564
Better Together,Luke Combs,1624572
Godzilla (feat. Juice WRLD),Eminem,1623841
"10,000 Hours (with Justin Bieber)",Dan + Shay,1622029
PTSD,G Herbo,1620868
Onna Come Up,Lil Eazzyy,1619489
Rich Nigga Shit (feat. Young Thug),21 Savage,1618040
By Yourself (feat. Jhené Aiko & Mustard),Ty Dolla $ign,1613853
I Fall Apart,Post Malone,1610253
Drip Too Hard (Lil Baby & Gunna),Lil Baby,1599034
Money Trees,Kendrick Lamar,1595981
Dance Monkey,Tones And I,1589100
Heartless (feat. Morgan Wallen),Diplo,1579432
bloody valentine,Machine Gun Kelly,1579068
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,1573974
Wow.,Post Malone,1572324
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,1569729
cardigan,Taylor Swift,1566092
Got What I Got,Jason Aldean,1565673
Cover Me Up,Morgan Wallen,1560639
bad guy,Billie Eilish,1558422
Tap In,Saweetie,1556006
everything i wanted,Billie Eilish,1549264
rockstar (feat. 21 Savage),Post Malone,1544821
XO Tour Llif3,Lil Uzi Vert,1539088
Say You Won't Let Go,James Arthur,1536234
Chicago Freestyle (feat. Giveon),Drake,1534508
The Chain - 2004 Remaster,Fleetwood Mac,1529322
Lovesick Girls,BLACKPINK,1529088
Armed And Dangerous,Juice WRLD,1525662
Savage Remix (feat. Beyoncé),Megan Thee Stallion,1518483
Be Kind (with Halsey),Marshmello,1517901
Bet You Wanna (feat. Cardi B),BLACKPINK,1514655
I Should Probably Go To Bed,Dan + Shay,1507028
Mr. Brightside,The Killers,1500854
Epidemic,Polo G,1500450
Stunnin' (feat. Harm Franklin),Curtis Waters,1497743
Hit Different,SZA,1497325
Lets Link,WhoHeem,1496411
Said Sum,Moneybagg Yo,1490260
Space Cadet (feat. Gunna),Metro Boomin,1489958
Fuck Love (feat. Trippie Redd),XXXTENTACION,1477734
Maniac,Conan Gray,1467601
when the party's over,Billie Eilish,1466554
Stuck with U (with Justin Bieber),Ariana Grande,1461234
Life's A Mess (feat. Halsey),Juice WRLD,1458272
Don’t Stop (feat. Young Thug),Megan Thee Stallion,1455557
we fell in love in october,girl in red,1451349
Excitement,Trippie Redd,1445916
Your Man,Joji,1435467
exile (feat. Bon Iver),Taylor Swift,1433134
the 1,Taylor Swift,1426878
Many Men,21 Savage,1424971
Relación - Remix,Sech,1423403
Chasing_(Demo),NF,1410655
Murder On My Mind,YNW Melly,1406670
Tennessee Whiskey,Chris Stapleton,1404459
Deep End,Fousheé,1402597
Truth Hurts,Lizzo,1400074
F.N,Lil Tjay,1399106
Lean Wit Me,Juice WRLD,1395542
Pussy Talk,City Girls,1395121
Diamonds,Sam Smith,1394041
Some Girls,Jameson Rodgers,1393443
Pop Out (feat. Lil Tjay),Polo G,1392793
Memories,Maroon 5,1383854
In Your Eyes (feat. Kenny G) - Remix,The Weeknd,1383020
