WAP (feat. Megan Thee Stallion),Cardi B,10417487
Mood (feat. iann dior),24kGoldn,9444935
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,9258340
Laugh Now Cry Later (feat. Lil Durk),Drake,8218836
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,7898996
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,6991730
Holy (feat. Chance The Rapper),Justin Bieber,6046100
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,5368223
POPSTAR (feat. Drake),DJ Khaled,5366600
ROCKSTAR (feat. Roddy Ricch),DaBaby,5287269
my ex's best friend (with blackbear),Machine Gun Kelly,5161468
Come & Go (with Marshmello),Juice WRLD,4946074
Wishing Well,Juice WRLD,4903872
Dynamite,BTS,4805772
Heather,Conan Gray,4758455
What You Know Bout Love,Pop Smoke,4744431
forget me too (feat. Halsey),Machine Gun Kelly,4594256
Blinding Lights,The Weeknd,4487286
Watermelon Sugar,Harry Styles,4323798
you broke me first,Tate McRae,3916382
Mood Swings (feat. Lil Tjay),Pop Smoke,3887421
Blueberry Faygo,Lil Mosey,3839688
Put Your Records On,Ritt Momney,3779080
Martin & Gina,Polo G,3529787
Savage Love (Laxed - Siren Beat),Jawsh 685,3395495
Wolves (feat. Post Malone),Big Sean,3390236
Ew,Joji,3380221
Go Crazy,Chris Brown,3344946
Dreams - 2004 Remaster,Fleetwood Mac,3326471
Smile (with The Weeknd),Juice WRLD,3284836
Your Man,Joji,3283945
Epidemic,Polo G,3274349
Gimme Love,Joji,3269810
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,3161769
bloody valentine,Machine Gun Kelly,3132795
Daylight,Joji,3118249
Roses - Imanbek Remix,SAINt JHN,3086559
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,3060417
24 (feat. Lil Baby),Money Man,3055529
Be Like That - feat. Swae Lee & Khalid,Kane Brown,3042505
Lucid Dreams,Juice WRLD,3009325
Circles,Post Malone,2977024
Midnight Sky,Miley Cyrus,2966327
Robbery,Juice WRLD,2950374
The Box,Roddy Ricch,2930064
All Girls Are The Same,Juice WRLD,2910202
MODUS,Joji,2862755
7 Summers,Morgan Wallen,2788504
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2768424
death bed (coffee for your head),Powfu,2755583
Hawái,Maluma,2693215
Before You Go,Lewis Capaldi,2687974
GREECE (feat. Drake),DJ Khaled,2685091
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,2680660
Someone You Loved,Lewis Capaldi,2636709
drunk face,Machine Gun Kelly,2623385
Tick Tock,Joji,2617431
Party Girl,StaySolidRocky,2605102
After Party,Don Toliver,2581783
Electric Love,BØRNS,2575061
We Paid (feat. 42 Dugg),Lil Baby,2565764
Conversations,Juice WRLD,2550592
Better,ZAYN,2533853
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,2518875
Sanctuary,Joji,2500209
Run,Joji,2487558
Pretty Boy (feat. Lil Yachty),Joji,2429923
Got It On Me,Pop Smoke,2418026
Adore You,Harry Styles,2414676
Afterthought,Joji,2402603
Head & Heart (feat. MNEK),Joel Corry,2382136
21,Polo G,2369416
all I know (feat. Trippie Redd),Machine Gun Kelly,2332054
goosebumps,Travis Scott,2331729
Righteous,Juice WRLD,2320824
Life Is Good (feat. Drake),Future,2312698
Daisy,Ashnikko,2277534
Mad at Disney,salem ilese,2275160
Breaking Me,Topic,2274971
SLOW DANCING IN THE DARK,Joji,2265597
GO (feat. Juice WRLD),The Kid LAROI,2242227
Whiskey Glasses,Morgan Wallen,2227677
Intentions (feat. Quavo),Justin Bieber,2220229
Rags2Riches 2 (feat. Lil Baby),Rod Wave,2198883
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2190022
hot girl bummer,blackbear,2183646
Lets Link,WhoHeem,2167529
Like You Do,Joji,2164265
HIGHEST IN THE ROOM,Travis Scott,2160039
You Got It,Vedo,2143312
Are You Bored Yet? (feat. Clairo),Wallows,2142326
kiss kiss,Machine Gun Kelly,2118379
title track,Machine Gun Kelly,2116954
NITROUS,Joji,2116335
Sunday Best,Surfaces,2113234
SICKO MODE,Travis Scott,2112177
Toosie Slide,Drake,2108615
Still Don't Know My Name,Labrinth,2107951
Dior,Pop Smoke,2105990
Tap In,Saweetie,2101569
Upgrade,Joji,2100725
cardigan,Taylor Swift,2082821
THE SCOTTS,THE SCOTTS,2060940
WHATS POPPIN,Jack Harlow,2059957
If the World Was Ending - feat. Julia Michaels,JP Saxe,2046635
lonely,Machine Gun Kelly,2046294
High Hopes (feat. Omar Apollo),Joji,2036370
Ice Cream (with Selena Gomez),BLACKPINK,2032611
Girls in the Hood,Megan Thee Stallion,2030521
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2021794
The Bigger Picture,Lil Baby,2021312
Mr. Hollywood,Joji,2018029
ROXANNE,Arizona Zervas,1998766
Normal People (feat. rei brown),Joji,1990922
Rain On Me (with Ariana Grande),Lady Gaga,1982790
Jocelyn Flores,XXXTENTACION,1975282
Ballin' (with Roddy Ricch),Mustard,1963639
More Than My Hometown,Morgan Wallen,1962738
777,Joji,1961326
Chasin' You,Morgan Wallen,1959049
Sofia,Clairo,1953706
Falling,Trevor Daniel,1925286
concert for aliens,Machine Gun Kelly,1916088
nothing inside (feat. iann dior),Machine Gun Kelly,1914075
