Flex (feat. Juice WRLD),Polo G,1724718
SAD!,XXXTENTACION,1718114
No Role Modelz,J. Cole,1702198
Walk Em Down (feat. Roddy Ricch),NLE Choppa,1701556
The Less I Know The Better,Tame Impala,1696649
lovely (with Khalid),Billie Eilish,1694190
Don't Start Now,Dua Lipa,1692119
July,Noah Cyrus,1680655
Heartless (feat. Morgan Wallen),Diplo,1674228
MIDDLE CHILD,J. Cole,1671718
Money Trees,Kendrick Lamar,1658347
Godzilla (feat. Juice WRLD),Eminem,1650964
Don’t Stop (feat. Young Thug),Megan Thee Stallion,1649562
Epidemic,Polo G,1648496
Bang!,AJR,1644959
Lets Link,WhoHeem,1640184
I Hope,Gabby Barrett,1638450
Dance Monkey,Tones And I,1634147
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,1633800
my future,Billie Eilish,1632548
Stuck with U (with Justin Bieber),Ariana Grande,1631727
Tap In,Saweetie,1629233
PTSD,G Herbo,1624712
Drip Too Hard (Lil Baby & Gunna),Lil Baby,1612896
Narrow Road (feat. Lil Baby),NLE Choppa,1611716
I Fall Apart,Post Malone,1610823
Chicago Freestyle (feat. Giveon),Drake,1602239
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,1602116
Savage Remix (feat. Beyoncé),Megan Thee Stallion,1596774
Stunnin' (feat. Harm Franklin),Curtis Waters,1595020
Wow.,Post Malone,1592825
Cover Me Up,Morgan Wallen,1586159
cardigan,Taylor Swift,1583100
rockstar (feat. 21 Savage),Post Malone,1571722
Said Sum,Moneybagg Yo,1570765
"10,000 Hours (with Justin Bieber)",Dan + Shay,1566832
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,1564983
bad guy,Billie Eilish,1555187
Landslide,Fleetwood Mac,1553970
everything i wanted,Billie Eilish,1553864
XO Tour Llif3,Lil Uzi Vert,1553285
Kacey Talk,YoungBoy Never Broke Again,1545023
Armed And Dangerous,Juice WRLD,1536683
Hit Different,SZA,1534910
Relación - Remix,Sech,1533899
Your Man,Joji,1527031
Say You Won't Let Go,James Arthur,1524453
Excitement,Trippie Redd,1515464
Life's A Mess (feat. Halsey),Juice WRLD,1515156
exile (feat. Bon Iver),Taylor Swift,1514402
the 1,Taylor Swift,1511211
Mr. Brightside,The Killers,1511103
Better Together,Luke Combs,1510459
The Bigger Picture,Lil Baby,1496771
Maniac,Conan Gray,1494616
Be Kind (with Halsey),Marshmello,1491984
Gimme Love,Joji,1488694
Fuck Love (feat. Trippie Redd),XXXTENTACION,1484156
BLIND (feat. Young Thug),DaBaby,1477018
Outta Time (feat. Drake),Bryson Tiller,1465582
when the party's over,Billie Eilish,1462133
Pussy Talk,City Girls,1448017
Pretty Heart,Parker McCollum,1434404
we fell in love in october,girl in red,1433180
Murder On My Mind,YNW Melly,1430463
Tennessee Whiskey,Chris Stapleton,1429875
Space Cadet (feat. Gunna),Metro Boomin,1428992
How You Like That,BLACKPINK,1428246
Pop Out (feat. Lil Tjay),Polo G,1424686
La Jeepeta - Remix,Nio Garcia,1424666
Rags2Riches (feat. ATR Son Son),Rod Wave,1422732
Diamonds,Sam Smith,1409200
Truth Hurts,Lizzo,1407371
Lean Wit Me,Juice WRLD,1405609
ily (i love you baby) (feat. Emilee),Surf Mesa,1401768
Memories,Maroon 5,1395532
F.N,Lil Tjay,1384721
Everybody Dies In Their Nightmares,XXXTENTACION,1383259
Moonlight,XXXTENTACION,1382598
